1857,1861,1866,1868,Section1857,Section1861,Section1866,Section1868,PIÈCES CONDAMNÉES,PoemTitle,IDNO
64,84,0,106,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'IRREMEDIABLE,FDM-064-084-000-106
0,85,0,107,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'HORLOGE,FDM-000-085-000-107
0,86,0,108,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,Paysage,FDM-000-086-000-108
2,87,0,109,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,LE SOLEIL,FDM-002-087-000-109
0,0,15,110,nope,nope,EPIGRAPHES,TABLEAUX PARISIENS,nope,Lola de Valence,FDM-000-000-015-110
0,0,0,111,nope,nope,nope,TABLEAUX PARISIENS,nope,LA LUNE OFFENSEE,FDM-000-000-000-111
65,88,0,112,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,A UNE MENDIANTE ROUSSE,FDM-065-088-000-112
0,89,0,113,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,LE CYGNE,FDM-000-089-000-113
0,90,0,114,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,LES SEPT VIEILLARDS,FDM-000-090-000-114
0,91,0,115,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,LES PETITES VIEILLES,FDM-000-091-000-115
0,92,0,116,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,Les Aveugles,FDM-000-092-000-116
0,93,0,117,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,A UNE PASSANTE,FDM-000-093-000-117
0,94,0,118,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,Le Squelette laboureur,FDM-000-094-000-118
67,95,0,119,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,LE CREPUSCULE DU SOIR,FDM-067-095-000-119
66,96,0,120,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,LE JEU,FDM-066-096-000-120
0,97,0,121,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,DANSE MACABRE,FDM-000-097-000-121
0,98,0,122,nope,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,L'AMOUR DU MENSONGE,FDM-000-098-000-122
70,99,0,123,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,"CII Je n'ai pas oublié, voisine de la ville (untitled)",FDM-070-099-000-123
69,100,0,124,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,CIII La servante au grand coeur dont vous étiez jalousie (untitled),FDM-069-100-000-124
63,101,0,125,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,BRUMES ET PLUIES,FDM-063-101-000-125
0,102,0,126,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,Reve parisien,FDM-000-102-000-126
68,103,0,127,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,TABLEAUX PARISIENS,nope,Le Crepuscule du matin,FDM-068-103-000-127
93,104,0,128,LE VIN,LE VIN,nope,LE VIN,nope,L'AME DU VIN,FDM-093-104-000-128
94,105,0,129,LE VIN,LE VIN,nope,LE VIN,nope,LE VIN DES CHIFFONNIERS,FDM-094-105-000-129
95,106,0,130,LE VIN,LE VIN,nope,LE VIN,nope,LE VIN DE L'ASSASSIN,FDM-095-106-000-130
96,107,0,131,LE VIN,LE VIN,nope,LE VIN,nope,LE VIN DU SOLITAIRE,FDM-096-107-000-131
97,108,0,132,LE VIN,LE VIN,nope,LE VIN,nope,LE VIN DES AMANTS,FDM-097-108-000-132
0,0,0,133,nope,nope,nope,FLEUR DU MAL,nope,Epigraphe pour un livre condamne,FDM-000-000-000-133
78,109,0,134,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,La Destruction,FDM-078-109-000-134
79,110,0,135,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,UNE MARTYRE,FDM-079-110-000-135
82,111,0,136,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,FEMMES DAMNEES (Comme un bétail pensif),FDM-082-111-000-136
83,112,0,137,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,LES DEUX BONNES SOEURS,FDM-083-112-000-137
84,113,0,138,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,La Fontaine du sang,FDM-084-113-000-138
85,114,0,139,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,ALLEGORIE,FDM-085-114-000-139
86,115,0,140,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,La Beatrice,FDM-086-115-000-140
88,116,0,141,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,UN VOYAGE A CYTHERE,FDM-088-116-000-141
89,117,0,142,FLEUR DU MAL,LE VIN,nope,FLEUR DU MAL,nope,L’Amour et le crane,FDM-089-117-000-142
90,118,0,143,RÉVOLTE,RÉVOLTE,nope,RÉVOLTE,nope,Le Reniement de saint Pierre,FDM-090-118-000-143
91,119,0,144,RÉVOLTE,RÉVOLTE,nope,RÉVOLTE,nope,ABEL ET CAÏN,FDM-091-119-000-144
92,120,0,145,RÉVOLTE,RÉVOLTE,nope,RÉVOLTE,nope,LES LITANIES DE SATAN,FDM-092-120-000-145
98,121,0,146,LA MORT,LA MORT,nope,LA MORT,nope,LA MORT DES AMANTS,FDM-098-121-000-146
99,122,0,147,LA MORT,LA MORT,nope,LA MORT,nope,LA MORT DES PAUVRES,FDM-099-122-000-147
100,123,0,148,LA MORT,LA MORT,nope,LA MORT,nope,La Mort des artistes,FDM-100-123-000-148
0,124,0,149,nope,LA MORT,nope,LA MORT,nope,La Fin de la journee,FDM-000-124-000-149
0,125,0,150,nope,LA MORT,nope,LA MORT,nope,LE REVE D'UN CURIEUX,FDM-000-125-000-150
0,126,0,151,nope,LA MORT,nope,LA MORT,nope,LE VOYAGE,FDM-000-126-000-151
